image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001089.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Що написано на папері?\
When the provided information is insufficient, respond with 'hе можна відповісти'.\
Answer the question in Ukrainian using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['hе можна відповісти', 'Австралія Пошта', 'Пост', 'hе можна відповісти', 'Австралія Пошта', 'Австралійська пошта', 'Австралія Пошта', 'Австралія Пошта', 'hе можна відповісти', 'Австралія Пошта']	australia post
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000603.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Можете сказати, що на екрані комп'ютера?\
When the provided information is insufficient, respond with 'hе можна відповісти'.\
Answer the question in Ukrainian using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['значки для годинника погода і т.д.', 'Відкриття вікна', 'робочий стіл', 'годинник', 'годинник', 'ікони', 'значки робочого столу', 'hе можна відповісти', 'значки робочого столу', 'ікони']	hе можна відповісти
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002074.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Який це диск?\
When the provided information is insufficient, respond with 'hе можна відповісти'.\
Answer the question in Ukrainian using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['безвізуальний', 'порожній диск', 'Максвелл', 'Макселл CD r', 'безвізуальний', 'безвізуальний', 'ковдру', 'безвізуальний', 'безвізуальний', 'Макселл']	maxell
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001467.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Що це за фотографія?\
When the provided information is insufficient, respond with 'hе можна відповісти'.\
Answer the question in Ukrainian using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['стопа', 'стопа', 'подраска на нозі', 'стопа', 'стопа', 'стопа', 'стопа', 'стопа', 'стопа', 'стопа']	ні
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00004201.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Можете сказати, що це за баночка?\
When the provided information is insufficient, respond with 'hе можна відповісти'.\
Answer the question in Ukrainian using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
