image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001089.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha te mea i tuhia ki runga i te pepa?\
	['kāore e taea te whakautu', 'te pou o Ahitereiria', 'te pou', 'kāore e taea te whakautu', 'te pou o Ahitereiria', 'te pou o Ahitereiria', 'te pou o Ahitereiria', 'te pou o Ahitereiria', 'kāore e taea te whakautu', 'te pou o Ahitereiria']	post
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000603.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. Ka taea e koe te korero mai ki ahau he aha te mea kei runga i tēnei mata rorohiko?\
	['ngā tohu tohu mō te karaka rangi etc', 'matapihi tīmata', 'papamahi', 'karaka', 'karaka', 'ngā tohu', 'ngā tohu o te papamahi', 'kāore e taea te whakautu', 'ngā tohu o te papamahi', 'ngā tohu']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002074.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha tēnei CD?\
	['he mea kore', 'CD koreutu', 'te whāriki', 'Maxell CD r', 'he mea kore', 'he mea kore', 'te paraikete', 'he mea kore', 'he mea kore', 'te whakairo']	maxell cd r
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001467.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha te pikitia?\
	['waewae', 'waewae', 'te kiri i runga i te waewae', 'waewae', 'waewae', 'waewae', 'waewae', 'waewae', 'waewae', 'waewae']	He waewae maui o te tangata me te tohu whero i runga.
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00004201.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. Ka taea e koe te korero mai ki ahau he aha tēnei ipu?\
	['whakarau', 'te whenu', 'te whenu', 'Ka hopu i te ranu Joe', 'te ranu Joe whakaware', 'te whenu', 'tangata e maia ana te whakahianga Joe', 'te whakawātea', 'te whenu', 'Joe whakaware']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001540.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha tēnei?\
	['te waiwai kōkē kai', 'ka taea te kohua kōka kai', 'te kōka kai', 'Ka taea te whakamahi i te kōkē kai', 'te kōka kai', 'te kōka kai', 'te kōka kai', 'te kōka', 'te wai whakawera', 'Ka taea te whakamahi i te kōkē kai']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00003385.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha tēnei mea?\
	['Te wahine a Dash', 'kāore e taea te whakautu', 'Te wahine a Dash', 'kāore e taea te whakautu', 'kāore e taea te kōrero', 'he kakara katoa', 'te ranunga o te parāoa', 'Mrs. Dash tepu whakaranu', 'whakapakoko', 'Te wahine a Dash']	Kaore e taea e ahau te whakaatu i te ahua o te ipu.
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002460.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha tēnei?\
	['te ipu ngū', 'te parewai maunga', 'te parewai maunga', 'te parewai maunga', 'te parewai maunga', 'te parewai maunga', 'te parewai maunga', 'te parewai maunga', 'te parewai maunga', 'te ua']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001735.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha te mea kei roto i tēnei pouaka?\
	['kawhe', 'kāore e taea te whakautu', 'kawhe', 'kawhe', 'kawhe', 'kawhe', 'kawhe', 'kawhe', 'kawhe', 'kāore e taea te whakautu']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002557.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha tō kite?\
	['kiri', 'ngā tatau papa mai i te ringa', 'tatau', 'tatau', 'tatau maihao', 'tatau', 'kāore e taea te whakautu', 'tatau', 'whare', 'te huruhuru pango o te maihao']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000566.jpg	answer mi When the provided information is insufficient, respond with 'kāore e taea te whakautu'. He aha te mea e whakaatuhia ana e taku mata rorohiko?\
	['E hiahia ana koe ki te whakahoki mai i tō rorohiko mā te whakamahi i te whakahoki pūnaha', 'Whakaora pūnaha pop ake', 'karere whakahoki pūnaha', 'e pātai ana mēnā e hiahia ana koe ki te whakahoki mai i tō rorohiko mā te whakamahi i te whakahoki pūnaha', 'pouaka', 'whakahoutia te pūnaha', 'E hiahia ana koe ki te whakahoki mai i tō rorohiko mā te whakamahi i te whakahoki pūnaha', 'Kāore te rorohiko i tīmata i te whakamahi i te whakahounga pūnaha', 'whakahoutia te whakatūnga', 'whakahoutia te pūnaha']	unanswerable
