image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001089.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Qu'est-ce qui est écrit sur le papier ?\
When the provided information is insufficient, respond with 'impossible à répondre'.\
Answer the question in French using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['impossible à répondre', \"l'Australie\", 'poste', 'impossible à répondre', \"l'Australie\", 'Autriche', \"l'Australie\", \"l'Australie\", 'impossible à répondre', \"l'Australie\"]	australia post
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000603.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Pouvez-vous me dire ce qu'il y a sur cet écran d'ordinateur s'il vous plaît?\
When the provided information is insufficient, respond with 'impossible à répondre'.\
Answer the question in French using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	[\"icônes pour l' horloge météo etc\", 'fenêtre de démarrage', 'bureau', \"l'horloge\", \"l'horloge\", 'icônes', 'icônes de bureau', 'impossible à répondre', 'icônes de bureau', 'icônes']	impossible à répondre
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002074.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Quel CD est-ce ?\
When the provided information is insufficient, respond with 'impossible à répondre'.\
Answer the question in French using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['le vide', 'Un cd vide', 'Je suis désolé.', 'Maxell CD r est', 'le vide', 'le vide', 'couverture', 'le vide', 'le vide', 'Maxell, vous êtes là ?']	impossible à répondre
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001467.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: C'est quoi cette photo ?\
When the provided information is insufficient, respond with 'impossible à répondre'.\
Answer the question in French using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['le pied', 'le pied', 'une égratignure au pied', 'le pied', 'le pied', 'le pied', 'le pied', 'le pied', 'le pied', 'le pied']	une jambe
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00004201.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Pouvez-vous me dire ce que cette boîte est, s'il vous plaît?\
When the provided information is insufficient, respond with 'impossible à répondre'.\
Answer the question in French using a single word or phrase.<|im_end|>\
