image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001089.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: কাগজে কি লেখা আছে?\
When the provided information is insufficient, respond with 'উত্তর দেওয়া সম্ভব নয়'.\
Answer the question in Bengali using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['উত্তর দেওয়া সম্ভব নয়', 'অস্ট্রেলিয়া পোস্ট', 'পোস্ট', 'উত্তর দেওয়া সম্ভব নয়', 'অস্ট্রেলিয়া পোস্ট', 'অস্ট্রেলিয়া পোস্ট', 'অস্ট্রেলিয়া পোস্ট', 'অস্ট্রেলিয়া পোস্ট', 'উত্তর দেওয়া সম্ভব নয়', 'অস্ট্রেলিয়া পোস্ট']	Australia post
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000603.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: আপনি কি আমাকে বলতে পারবেন এই কম্পিউটারের স্ক্রিনে কি আছে?\
When the provided information is insufficient, respond with 'উত্তর দেওয়া সম্ভব নয়'.\
Answer the question in Bengali using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['ঘড়ি আবহাওয়া ইত্যাদি জন্য আইকন', 'উইন্ডো শুরু করুন', 'ডেস্কটপ', 'ঘড়ি', 'ঘড়ি', 'আইকন', 'ডেস্কটপ আইকন', 'উত্তর দেওয়া সম্ভব নয়', 'ডেস্কটপ আইকন', 'আইকন']	উত্তর দেওয়া সম্ভব নয়.
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002074.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: এটা কোন সিডি?\
When the provided information is insufficient, respond with 'উত্তর দেওয়া সম্ভব নয়'.\
Answer the question in Bengali using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['ফাঁকা', 'ফাঁকা সিডি', 'ম্যাক্সওয়েল', 'ম্যাক্সেল সিডি আর', 'ফাঁকা', 'ফাঁকা', 'কভার', 'ফাঁকা', 'ফাঁকা', 'ম্যাক্সেল']	৮০ মিনিট
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001467.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: ছবিটা কিসের?\
When the provided information is insufficient, respond with 'উত্তর দেওয়া সম্ভব নয়'.\
