image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001089.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Ano ang nakasulat sa papel?\
When the provided information is insufficient, respond with 'hindi masasagot '.\
Answer the question in Filipino using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['hindi masasagot ', 'Australia post', 'post', 'hindi masasagot ', 'Australia post', 'Australyano', 'Australia post', 'Australia post', 'hindi masasagot ', 'Australia post']	australia post
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000603.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Maaari mo bang sabihin sa akin kung ano ang nasa screen ng computer na ito?\
When the provided information is insufficient, respond with 'hindi masasagot '.\
Answer the question in Filipino using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['mga icon para sa oras ng panahon atbp', 'magsimula ng window', 'desktop', 'oras', 'oras', 'mga icon', 'mga icon ng desktop', 'hindi masasagot ', 'mga icon ng desktop', 'mga icon']	hindi masasagot
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002074.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Anong CD ito?\
When the provided information is insufficient, respond with 'hindi masasagot '.\
Answer the question in Filipino using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['walang laman', 'walang laman na cd', 'maxwell', 'Maxell CD r', 'walang laman', 'walang laman', 'panyo', 'walang laman', 'walang laman', 'maxell']	maxell
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001467.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Ano ang larawan?\
When the provided information is insufficient, respond with 'hindi masasagot '.\
Answer the question in Filipino using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['paa', 'paa', 'pag-iskat sa paa', 'paa', 'paa', 'paa', 'paa', 'paa', 'paa', 'paa']	hindi masasagot
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00004201.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Maaari mo bang sabihin sa akin kung ano ang lata na ito?\
When the provided information is insufficient, respond with 'hindi masasagot '.\
Answer the question in Filipino using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
